k,num_threads,runtime,speedup,efficiency,accuracy
3,1,274.252,0.983703,98.3703,77.02
3,2,138.203,1.95207,97.6037,77.02
3,4,69.5866,3.87693,96.9232,77.02
3,8,34.8156,7.74889,96.8611,77.02
3,16,23.8316,11.3203,70.7521,77.02
3,32,15.8244,17.0485,53.2766,77.02
3,64,16.0768,16.7808,26.22,77.02
3,128,15.9815,16.8809,13.1882,77.02
5,1,273.844,0.986569,98.6569,78.88
5,2,138.3,1.95347,97.6737,78.88
5,4,69.6494,3.87894,96.9736,78.88
5,8,34.861,7.74981,96.8726,78.88
5,16,24.1156,11.2029,70.0184,78.88
5,32,16.6946,16.1829,50.5715,78.88
5,64,16.0695,16.8124,26.2693,78.88
5,128,15.9965,16.8891,13.1946,78.88
7,1,273.823,0.986737,98.6737,79.84
7,2,138.207,1.95497,97.7483,79.84
7,4,69.6268,3.88056,97.014,79.84
7,8,34.8459,7.75387,96.9234,79.84
7,16,23.9683,11.2728,70.4552,79.84
7,32,15.7885,17.1131,53.4785,79.84
7,64,16.0475,16.837,26.3078,79.84
7,128,15.9682,16.9205,13.2192,79.84
