k,num_threads,method,runtime,speedup,efficiency,accuracy
3,1,task,274.085,0.999819,99.9819,77.02
3,1,sections,274.14,0.99962,99.962,77.02
3,2,task,138.318,1.9812,99.0598,77.02
3,2,sections,138.334,1.98097,99.0485,77.02
3,4,task,69.41,3.94807,98.7018,77.02
3,4,sections,69.4224,3.94736,98.6841,77.02
3,8,task,34.6144,7.91681,98.9601,77.02
3,8,sections,34.5165,7.93927,99.2409,77.02
3,16,task,23.7287,11.5487,72.1793,77.02
3,16,sections,23.2368,11.7931,73.7072,77.02
3,32,task,16.7039,16.4055,51.2673,77.02
3,32,sections,15.8935,17.242,53.8813,77.02
3,64,task,15.8874,17.2486,26.951,77.02
3,64,sections,16.0865,17.0351,26.6174,77.02
3,128,task,15.8165,17.3259,13.5358,77.02
3,128,sections,15.6927,17.4626,13.6427,77.02
5,1,task,274.12,0.999623,99.9623,78.88
5,1,sections,274.153,0.999504,99.9504,78.88
5,2,task,138.363,1.98042,99.0212,78.88
5,2,sections,138.253,1.98199,99.0997,78.88
5,4,task,69.4181,3.94734,98.6835,78.88
5,4,sections,69.3697,3.95009,98.7522,78.88
5,8,task,34.5713,7.92612,99.0765,78.88
5,8,sections,34.52,7.93791,99.2239,78.88
5,16,task,23.8347,11.4965,71.8533,78.88
5,16,sections,23.389,11.7156,73.2225,78.88
5,32,task,16.3822,16.7265,52.2703,78.88
5,32,sections,15.6595,17.4984,54.6826,78.88
5,64,task,15.9738,17.1541,26.8033,78.88
5,64,sections,15.6639,17.4935,27.3336,78.88
5,128,task,15.8256,17.3147,13.5271,78.88
5,128,sections,15.7074,17.4451,13.629,78.88
7,1,task,274.15,0.99955,99.955,79.84
7,1,sections,274.138,0.999593,99.9593,79.84
7,2,task,138.419,1.97969,98.9844,79.84
7,2,sections,138.29,1.98154,99.0772,79.84
7,4,task,69.4047,3.94825,98.7062,79.84
7,4,sections,69.3593,3.95083,98.7707,79.84
7,8,task,34.5628,7.92837,99.1046,79.84
7,8,sections,34.5399,7.93363,99.1704,79.84
7,16,task,23.7159,11.5546,72.216,79.84
7,16,sections,23.2943,11.7637,73.523,79.84
7,32,task,16.2019,16.9132,52.8539,79.84
7,32,sections,15.7897,17.3548,54.2338,79.84
7,64,task,15.924,17.2084,26.8882,79.84
7,64,sections,15.941,17.1901,26.8595,79.84
7,128,task,15.8114,17.3309,13.5398,79.84
7,128,sections,15.713,17.4395,13.6246,79.84
